model_id,model_name,layer_k,stratigraphic_coordinate,layer_mean_z,facies,area_proportion,facies_area,active_area,active_cells
Sim633,Sim633,0,0.0,-116.2895651747251,11,0.3181614397140587,18644046.072854906,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,12,0.5257388247898447,30807941.026667845,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,13,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,14,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,15,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,16,0.15609973549609668,9147339.360688377,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,21,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,22,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,23,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,24,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,25,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,26,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,111,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,121,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,131,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,161,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,231,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,232,0.0,0.0,58599326.46021113,648
Sim633,Sim633,0,0.0,-116.2895651747251,241,0.0,0.0,58599326.46021113,648
Sim633,Sim633,1,0.05,-81.92208825638673,11,0.0,0.0,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,12,0.01767051679677564,2969211.5876631443,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,13,0.3273222267369516,55000595.60818287,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,14,0.00209289091904973,351672.56509958697,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,15,0.000571165859977365,95974.1194570966,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,16,0.0,0.0,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,21,0.0,0.0,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,22,0.0,0.0,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,23,0.10683129755271452,17951072.414389715,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,24,0.018368695420684263,3086527.910904266,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,25,0.014951288353359545,2512294.3001524843,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,26,0.011170847345005654,1877059.3844125248,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,111,0.0,0.0,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,121,0.0,0.0,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,131,0.0007665223277948853,128800.24982101253,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,161,0.001632956346979476,274388.8570641164,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,231,0.4769295273598176,80139403.69836129,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,232,0.0,0.0,168031960.91044378,613
Sim633,Sim633,1,0.05,-81.92208825638673,241,0.021692064980889686,3644960.214935662,168031960.91044378,613
Sim633,Sim633,2,0.1,-101.09922410166426,11,0.0,0.0,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,12,0.0014891936232104804,105893.23540271708,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,13,0.26671711002855397,18965658.513429023,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,14,0.014203547079406902,1009982.5375230124,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,15,0.0,0.0,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,16,0.0,0.0,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,21,0.11860877119997937,8434005.043903705,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,22,0.0,0.0,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,23,0.05914247187350355,4205489.1981727965,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,24,0.008465321862975694,601950.1472637947,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,25,0.0,0.0,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,26,0.0037376000049163306,265772.39587458374,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,111,0.07641053654640727,5433382.743281463,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,121,0.0,0.0,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,131,0.0,0.0,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,161,0.001075271688035374,76460.17026149557,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,231,0.320809781530469,22812067.675835527,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,232,0.0,0.0,71107768.49448696,579
Sim633,Sim633,2,0.1,-101.09922410166426,241,0.12934039456254218,9197106.833538849,71107768.49448696,579
Sim633,Sim633,3,0.15,-91.15676616498833,11,0.0,0.0,147191072.15013152,647
Sim633,Sim633,3,0.15,-91.15676616498833,12,0.0,0.0,147191072.15013152,647
Sim633,Sim633,3,0.15,-91.15676616498833,13,0.10798607868808449,15894586.699387625,147191072.15013152,647
Sim633,Sim633,3,0.15,-91.15676616498833,14,0.003966937839138609,583897.8336957378,147191072.15013152,647
Sim633,Sim633,3,0.15,-91.15676616498833,15,0.0,0.0,147191072.15013152,647
Sim633,Sim633,3,0.15,-91.15676616498833,16,0.0,0.0,147191072.15013152,647
Sim633,Sim633,3,0.15,-91.15676616498833,21,0.0,0.0,147191072.15013152,647
Sim633,Sim633,3,0.15,-91.15676616498833,22,0.0,0.0,147191072.15013152,647
