model_id,model_name,layer_k,stratigraphic_coordinate,layer_mean_z,facies,area_proportion,facies_area,active_area,active_cells
Sim603,Sim603,0,0.0,-115.20527582284981,11,0.3179345419962018,18649924.97283864,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,12,0.5261197179429051,30861991.920599267,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,13,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,14,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,15,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,16,0.15594574006089293,9147720.577036876,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,21,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,22,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,23,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,24,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,25,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,26,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,111,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,121,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,131,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,161,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,231,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,232,0.0,0.0,58659637.47047479,648
Sim603,Sim603,0,0.0,-115.20527582284981,241,0.0,0.0,58659637.47047479,648
Sim603,Sim603,1,0.05,-54.68108182165797,11,0.0,0.0,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,12,0.01502355040802391,3342197.707595617,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,13,0.08065915893386669,17943751.56097461,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,14,0.001204233290536967,267898.441695472,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,15,0.0004320414267339021,96113.62339791401,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,16,0.0,0.0,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,21,0.0,0.0,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,22,0.0,0.0,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,23,0.09693763935401885,21565125.900978494,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,24,0.016443634894437727,3658115.249467042,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,25,0.011745059992225098,2612851.9235121966,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,26,0.010302360322915616,2291903.3197161295,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,111,0.0,0.0,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,121,0.0,0.0,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,131,0.0006279590078099312,139698.21376213737,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,161,0.0008439961251590913,187758.67475505255,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,231,0.7523525946149349,167371296.979353,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,232,0.0,0.0,222463906.12238947,611
Sim603,Sim603,1,0.05,-54.68108182165797,241,0.01342777162933725,2987194.527181767,222463906.12238947,611
Sim603,Sim603,2,0.1,-101.57186469755999,11,0.0033890840089667116,240609.1901902897,70995345.51332894,578
Sim603,Sim603,2,0.1,-101.57186469755999,12,0.0013947649100430953,99021.81669837672,70995345.51332894,578
Sim603,Sim603,2,0.1,-101.57186469755999,13,0.2965391486055872,21052899.31348206,70995345.51332894,578
Sim603,Sim603,2,0.1,-101.57186469755999,14,0.012987175269253717,922028.9954828285,70995345.51332894,578
Sim603,Sim603,2,0.1,-101.57186469755999,15,0.0,0.0,70995345.51332894,578
Sim603,Sim603,2,0.1,-101.57186469755999,16,0.0,0.0,70995345.51332894,578
Sim603,Sim603,2,0.1,-101.57186469755999,21,0.12125565741121568,8608587.293355102,70995345.51332894,578
Sim603,Sim603,2,0.1,-101.57186469755999,22,0.0,0.0,70995345.51332894,578
Sim603,Sim603,2,0.1,-101.57186469755999,23,0.07006904505104512,4974576.06318796,70995345.51332894,578
Sim603,Sim603,2,0.1,-101.57186469755999,24,0.0066209734328553085,470058.2965001342,70995345.51332894,578
Sim603,Sim603,2,0.1,-101.57186469755999,25,0.0,0.0,70995345.51332894,578
Sim603,Sim603,2,0.1,-101.57186469755999,26,0.006861250243316624,487116.83167767595,70995345.51332894,578
Sim603,Sim603,2,0.1,-101.57186469755999,111,0.030592503064203323,2171925.325160689,70995345.51332894,578
Sim603,Sim603,2,0.1,-101.57186469755999,121,0.0,0.0,70995345.51332894,578
