model_id,model_name,family,representative_role,selected_for_visualization,grouping_match,layer_k,stratigraphic_coordinate,layer_mean_z,facies,area_proportion,facies_area,active_area,active_cells
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,11,0.3131667950697377,18220747.69188772,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,12,0.5145662578255138,29938620.8953273,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,13,0.0,0.0,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,14,0.0,0.0,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,15,0.0,0.0,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,16,0.155798069557339,9064681.699907867,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,21,0.0068354450477024,397701.549259763,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,22,0.0,0.0,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,23,0.0081378870858916,473480.5530838084,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,24,0.0,0.0,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,25,0.0,0.0,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,26,0.0014955454138154,87014.19204045027,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,111,0.0,0.0,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,121,0.0,0.0,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,131,0.0,0.0,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,161,0.0,0.0,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,231,0.0,0.0,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,232,0.0,0.0,58182246.58150691,648
base,Modelo-base,,,,False,0,0.0,-125.2185502753308,241,0.0,0.0,58182246.58150691,648
base,Modelo-base,,,,False,1,0.05,-107.094015681679,11,0.0,0.0,77834388.77298813,602
base,Modelo-base,,,,False,1,0.05,-107.094015681679,12,0.0839968022739109,6537839.763875399,77834388.77298813,602
base,Modelo-base,,,,False,1,0.05,-107.094015681679,13,0.0996587934351238,7756881.272876346,77834388.77298813,602
base,Modelo-base,,,,False,1,0.05,-107.094015681679,14,0.0190837915614418,1485375.2516559337,77834388.77298813,602
base,Modelo-base,,,,False,1,0.05,-107.094015681679,15,0.0,0.0,77834388.77298813,602
base,Modelo-base,,,,False,1,0.05,-107.094015681679,16,0.0011258149824451,87627.12103009241,77834388.77298813,602
base,Modelo-base,,,,False,1,0.05,-107.094015681679,21,0.0,0.0,77834388.77298813,602
base,Modelo-base,,,,False,1,0.05,-107.094015681679,22,0.0,0.0,77834388.77298813,602
base,Modelo-base,,,,False,1,0.05,-107.094015681679,23,0.6657919946863422,51821512.956360005,77834388.77298813,602
base,Modelo-base,,,,False,1,0.05,-107.094015681679,24,0.0435348356370175,3388507.3221397656,77834388.77298813,602
base,Modelo-base,,,,False,1,0.05,-107.094015681679,25,0.0219822292311529,1710973.3760745015,77834388.77298813,602
base,Modelo-base,,,,False,1,0.05,-107.094015681679,26,0.0206467342613623,1607025.9413914513,77834388.77298813,602
base,Modelo-base,,,,False,1,0.05,-107.094015681679,111,0.0,0.0,77834388.77298813,602
base,Modelo-base,,,,False,1,0.05,-107.094015681679,121,0.0,0.0,77834388.77298813,602
