model_id,model_name,layer_k,stratigraphic_coordinate,layer_mean_z,facies,area_proportion,facies_area,active_area,active_cells
base,Modelo-base,0,0.0,-125.21855027533081,11,0.3131667950697377,18220747.69188772,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,12,0.5145662578255138,29938620.8953273,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,13,0.0,0.0,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,14,0.0,0.0,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,16,0.15579806955733908,9064681.699907867,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,21,0.006835445047702429,397701.549259763,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,23,0.008137887085891646,473480.5530838084,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,24,0.0,0.0,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,25,0.0,0.0,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,26,0.0014955454138154151,87014.19204045027,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,111,0.0,0.0,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,131,0.0,0.0,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,161,0.0,0.0,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,231,0.0,0.0,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,232,0.0,0.0,58182246.58150691,648
base,Modelo-base,0,0.0,-125.21855027533081,241,0.0,0.0,58182246.58150691,648
base,Modelo-base,1,0.05,-107.094015681679,11,0.0,0.0,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,12,0.08399680227391096,6537839.763875399,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,13,0.09965879343512385,7756881.2728763465,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,14,0.019083791561441833,1485375.2516559337,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,16,0.0011258149824451731,87627.12103009241,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,21,0.0,0.0,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,23,0.6657919946863422,51821512.956360005,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,24,0.04353483563701759,3388507.3221397656,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,25,0.021982229231152936,1710973.3760745015,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,26,0.020646734261362355,1607025.9413914513,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,111,0.0,0.0,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,131,0.0,0.0,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,161,0.0,0.0,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,231,0.004823944359103318,375468.7606657107,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,232,0.0,0.0,77834388.77298813,602
base,Modelo-base,1,0.05,-107.094015681679,241,0.03935505957209971,3063177.006918917,77834388.77298813,602
base,Modelo-base,2,0.1,-111.88676756658785,11,0.016809356266834205,1062417.2930814368,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,12,0.009890041468221688,625089.4393774514,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,13,0.14956668332707257,9453201.438120496,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,14,0.055131950988639516,3484555.6963544698,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,16,0.0,0.0,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,21,0.11868745339044535,7501512.904607762,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,23,0.35991901545456056,22748294.465162553,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,24,0.017284718680777605,1092462.0634484533,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,25,0.0,0.0,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,26,0.0,0.0,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,111,0.007200816577089251,455119.87100312166,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,131,0.0,0.0,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,161,0.0,0.0,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,231,0.1899877102960702,12007968.995799378,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,232,0.0,0.0,63203925.01750023,577
base,Modelo-base,2,0.1,-111.88676756658785,241,0.07552225355028919,4773302.850545119,63203925.01750023,577
base,Modelo-base,3,0.15,-107.54921050208681,11,0.0,0.0,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,12,0.037498743363858736,2206650.0802754783,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,13,0.12542716662623837,7380883.797062629,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,14,0.018873007953683258,1110600.5369815514,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,16,0.0,0.0,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,21,0.0,0.0,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,23,0.5621226901015487,33078657.25529231,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,24,0.0546345113604732,3215021.0397608853,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,25,0.0,0.0,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,26,0.0,0.0,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,111,0.0,0.0,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,131,0.0,0.0,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,161,0.0,0.0,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,231,0.08578407275259171,5048047.322255252,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,232,0.0,0.0,58845974.08675423,648
base,Modelo-base,3,0.15,-107.54921050208681,241,0.11565980784160597,6806114.0551261185,58845974.08675423,648
base,Modelo-base,4,0.2,-98.97159554437464,11,0.005309923630890993,321134.10708401183,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,12,0.015440450820364082,933809.1716283686,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,13,0.12319596141462431,7450658.016074568,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,14,0.03254088712070101,1968011.115721914,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,16,0.0,0.0,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,21,0.09159984245109917,5539784.6860622335,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,23,0.35142759531733514,21253674.228074916,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,24,0.0029990887224123387,181379.19598968103,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,25,0.0,0.0,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,26,0.0,0.0,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,111,0.0064253206362557755,388591.2018109837,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,131,0.0,0.0,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,161,0.0,0.0,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,231,0.24601366845282988,14878439.925096449,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,232,0.0,0.0,60478102.77642849,647
base,Modelo-base,4,0.2,-98.97159554437464,241,0.12504726143348738,7562621.128885373,60478102.77642849,647
base,Modelo-base,5,0.25,-96.03077007660681,11,0.0,0.0,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,12,0.030802186720601997,1793784.6328060464,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,13,0.10413107757152805,6064138.511971555,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,14,0.01917610723861957,1116732.6136189431,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,16,0.0,0.0,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,21,0.0,0.0,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,23,0.5480575622280692,31916475.344275184,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,24,0.029582268579059257,1722741.935888783,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,25,0.0,0.0,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,26,0.0,0.0,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,111,0.0,0.0,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,131,0.0,0.0,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,161,0.0,0.0,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,231,0.1274564297142033,7422505.000943435,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,232,0.0,0.0,58235626.226052195,648
base,Modelo-base,5,0.25,-96.03077007660681,241,0.14079436794791864,8199248.186548253,58235626.226052195,648
base,Modelo-base,6,0.3,-89.94687709484033,11,0.0,0.0,58192075.92746113,648
base,Modelo-base,6,0.3,-89.94687709484033,12,0.09509979715409624,5534054.616677321,58192075.92746113,648
base,Modelo-base,6,0.3,-89.94687709484033,13,0.02484957688816022,1446048.4650411028,58192075.92746113,648
