model_id,model_name,layer_k,stratigraphic_coordinate,layer_mean_z,facies,area_proportion,facies_area,active_area,active_cells
Sim575,Sim575,0,0.0,-115.18683375964778,11,0.3180284966727206,18649173.72824177,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,12,0.5259731526516213,30843037.032261312,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,13,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,14,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,15,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,16,0.15599835067565818,9147734.789512893,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,21,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,22,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,23,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,24,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,25,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,26,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,111,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,121,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,131,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,161,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,231,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,232,0.0,0.0,58639945.55001597,648
Sim575,Sim575,0,0.0,-115.18683375964778,241,0.0,0.0,58639945.55001597,648
Sim575,Sim575,1,0.05,-40.53913626729794,11,0.0,0.0,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,12,0.004987187058354625,2848713.482470775,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,13,0.03359815982464843,19191486.053916156,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,14,0.0006151665433411853,351387.1056922298,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,15,0.0001680489314678739,95990.6358405735,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,16,0.0,0.0,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,21,0.0,0.0,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,22,0.0,0.0,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,23,0.03043373868912086,17383948.248031862,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,24,0.005402837700881451,3086135.816044615,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,25,0.004398081514955969,2512212.5883912793,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,26,0.0033582527581936133,1918255.681583972,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,111,0.0,0.0,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,121,0.0,0.0,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,131,0.00024173199932245724,138078.88045043408,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,161,0.00048068500693985495,274570.3828768946,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,231,0.9099342689589168,519760335.799527,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,232,0.0,0.0,571206463.5110407,611
Sim575,Sim575,1,0.05,-40.53913626729794,241,0.0063818410138569495,3645348.8362149424,571206463.5110407,611
Sim575,Sim575,2,0.1,-98.30478802315783,11,0.0,0.0,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,12,0.0011660725192946904,91250.08008918766,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,13,0.28567418640804537,22355206.865620166,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,14,0.010736694792048019,840191.5347942004,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,15,0.0,0.0,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,16,0.0,0.0,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,21,0.12465428813434551,9754722.444363754,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,22,0.0,0.0,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,23,0.0418446457468519,3274519.5624826765,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,24,0.006411097793317582,501695.3726460291,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,25,0.0,0.0,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,26,0.004704486919750279,368145.89238875604,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,111,0.10141772884844905,7936363.928276164,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,121,0.0,0.0,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,131,0.0,0.0,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,161,0.0021019420717489894,164485.80960122595,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,231,0.3027174886451814,23688916.963739596,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,232,0.0,0.0,78254206.81758378,579
Sim575,Sim575,2,0.1,-98.30478802315783,241,0.11857136812096718,9278708.363582026,78254206.81758378,579
Sim575,Sim575,3,0.15,-99.75513958961845,11,0.0,0.0,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,12,0.0,0.0,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,13,0.26311144610115406,16237029.35284742,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,14,0.009431932151262968,582059.6612708534,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,15,0.0,0.0,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,16,0.0,0.0,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,21,0.0,0.0,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,22,0.0,0.0,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,23,0.08535075569453703,5267132.031067607,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,24,0.036381310781970516,2245149.041652919,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,25,0.0,0.0,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,26,0.0,0.0,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,111,0.0,0.0,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,121,0.0,0.0,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,131,0.0,0.0,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,161,0.0,0.0,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,231,0.4690632346158076,28946644.55559396,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,232,0.0,0.0,61711603.93609422,645
Sim575,Sim575,3,0.15,-99.75513958961845,241,0.13666132065526782,8433589.293661458,61711603.93609422,645
Sim575,Sim575,4,0.2,-45.95674507691722,11,0.0,0.0,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,12,0.0,0.0,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,13,0.09117287640037039,13735942.15791832,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,14,0.0029929851111693854,450917.772803386,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,15,0.0,0.0,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,16,0.0,0.0,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,21,0.5786597011011159,87179833.49059875,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,22,0.02296461009667459,3459806.9998566774,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,23,0.0048416239813701386,729430.3918464532,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,24,0.0,0.0,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,25,0.0,0.0,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,26,0.0,0.0,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,111,0.01279845195691371,1928191.8343682864,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,121,0.0,0.0,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,131,0.0007483591087345652,112746.4421083849,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,161,0.0,0.0,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,231,0.20311332746286292,30600689.89466338,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,232,0.0,0.0,150658207.79416054,648
Sim575,Sim575,4,0.2,-45.95674507691722,241,0.08270806478078813,12460648.80999687,150658207.79416054,648
Sim575,Sim575,5,0.25,-89.28952993297672,11,0.0,0.0,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,12,0.0,0.0,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,13,0.22119232695882582,12982301.10282564,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,14,0.008921082245720928,523599.4280153299,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,15,0.0,0.0,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,16,0.0,0.0,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,21,0.0,0.0,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,22,0.0,0.0,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,23,0.0099159784166572,581992.2386282734,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,24,0.012852251371314377,754329.0467877118,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,25,0.0,0.0,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,26,0.0,0.0,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,111,0.0,0.0,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,121,0.0,0.0,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,131,0.0,0.0,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,161,0.0,0.0,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,231,0.5615319163700578,32957636.991267785,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,232,0.0,0.0,58692366.418489054,648
Sim575,Sim575,5,0.25,-89.28952993297672,241,0.18558644463742377,10892507.61096431,58692366.418489054,648
Sim575,Sim575,6,0.3,-84.23558399274883,11,0.0,0.0,58148786.253213875,648
Sim575,Sim575,6,0.3,-84.23558399274883,12,0.0,0.0,58148786.253213875,648
Sim575,Sim575,6,0.3,-84.23558399274883,13,0.22956158694979276,13348727.65149207,58148786.253213875,648
Sim575,Sim575,6,0.3,-84.23558399274883,14,0.07978601343900057,4639459.841460494,58148786.253213875,648
Sim575,Sim575,6,0.3,-84.23558399274883,15,0.0,0.0,58148786.253213875,648
Sim575,Sim575,6,0.3,-84.23558399274883,16,0.0,0.0,58148786.253213875,648
Sim575,Sim575,6,0.3,-84.23558399274883,21,0.0017729462851947602,103094.67457621968,58148786.253213875,648
Sim575,Sim575,6,0.3,-84.23558399274883,22,0.0,0.0,58148786.253213875,648
