model_id,model_name,layer_k,stratigraphic_coordinate,layer_mean_z,facies,area_proportion,facies_area,active_area,active_cells
Sim634,Sim634,0,0.0,-114.96279061419469,11,0.318091275799159,18658514.262475267,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,12,0.5259671499163995,30852042.52663931,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,13,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,14,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,15,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,16,0.15594157428444144,9147179.785390358,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,21,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,22,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,23,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,24,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,25,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,26,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,111,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,121,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,131,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,161,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,231,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,232,0.0,0.0,58657736.574504934,648
Sim634,Sim634,0,0.0,-114.96279061419469,241,0.0,0.0,58657736.574504934,648
Sim634,Sim634,1,0.05,-71.33488164039987,11,0.0,0.0,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,12,0.01937880233949785,2812966.5104824565,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,13,0.46820206830700534,67962752.04282583,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,14,0.0030445964306406643,441944.12261849485,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,15,0.0006619365158630731,96084.64024596232,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,16,0.0,0.0,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,21,0.0,0.0,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,22,0.0,0.0,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,23,0.11691483604867056,16970992.975821815,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,24,0.0229943410508538,3337786.8339586863,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,25,0.017999378499392232,2612733.647893759,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,26,0.012568954784311803,1824470.2774007192,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,111,0.0,0.0,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,121,0.0,0.0,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,131,0.0010176976894393647,147725.8226816967,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,161,0.0018919108638484924,274623.88065007975,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,231,0.31329244437133236,45476554.15255048,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,232,0.0,0.0,145156881.2768719,612
Sim634,Sim634,1,0.05,-71.33488164039987,241,0.022033033099144554,3198246.369741915,145156881.2768719,612
Sim634,Sim634,2,0.1,-99.16391597672467,11,0.0,0.0,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,12,0.0012313353632383574,94268.18287279991,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,13,0.2895251724989252,22165376.486571625,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,14,0.0238649959897095,1827048.8068335294,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,15,0.0,0.0,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,16,0.0,0.0,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,21,0.1261113620720068,9654793.728067832,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,22,0.0,0.0,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,23,0.0402567055969686,3081960.120994995,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,24,0.006099471313874224,466961.3936300055,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,25,0.0,0.0,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,26,0.006336605355018828,485115.82647045853,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,111,0.07147943292702436,5472299.794174273,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,121,0.0,0.0,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,131,0.0,0.0,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,161,0.002137660542156295,163654.33895927994,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,231,0.32984493826452893,25252164.347990844,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,232,0.0,0.0,76557683.37951308,578
Sim634,Sim634,2,0.1,-99.16391597672467,241,0.10311232007654896,7894040.352947446,76557683.37951308,578
Sim634,Sim634,3,0.15,-99.92110519844965,11,0.0,0.0,65127494.654780164,646
Sim634,Sim634,3,0.15,-99.92110519844965,12,0.0,0.0,65127494.654780164,646
Sim634,Sim634,3,0.15,-99.92110519844965,13,0.2569917868441546,16737231.224015081,65127494.654780164,646
Sim634,Sim634,3,0.15,-99.92110519844965,14,0.010296631987292781,670593.844714649,65127494.654780164,646
Sim634,Sim634,3,0.15,-99.92110519844965,15,0.0,0.0,65127494.654780164,646
Sim634,Sim634,3,0.15,-99.92110519844965,16,0.0,0.0,65127494.654780164,646
