model_id,model_name,layer_k,stratigraphic_coordinate,layer_mean_z,facies,area_proportion,facies_area,active_area,active_cells
Sim590,Sim590,0,0.0,-116.25867066297987,11,0.3182888064497489,18646184.69239482,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,12,0.5255718546193799,30789363.84746737,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,13,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,14,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,15,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,16,0.1561393389308712,9147047.877453731,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,21,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,22,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,23,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,24,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,25,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,26,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,111,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,121,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,131,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,161,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,231,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,232,0.0,0.0,58582596.417315915,648
Sim590,Sim590,0,0.0,-116.25867066297987,241,0.0,0.0,58582596.417315915,648
Sim590,Sim590,1,0.05,-82.98738051401465,11,0.0,0.0,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,12,0.018488858683836113,2739065.4383189236,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,13,0.21152763389071863,31337144.230864618,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,14,0.0018099853727539896,268143.5594890175,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,15,0.000648272769771829,96039.54298367102,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,16,0.0,0.0,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,21,0.0,0.0,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,22,0.0,0.0,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,23,0.0983123232218243,14564657.089037051,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,24,0.02617633848399675,3877941.0492187743,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,25,0.017636545342253056,2612797.9354692623,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,26,0.011573766910542219,1714616.6498389784,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,111,0.0,0.0,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,121,0.0,0.0,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,131,0.0008799896893883795,130367.66549511049,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,161,0.0012662127772502306,187585.38398890104,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,231,0.5912834498864702,87596757.02697182,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,232,0.0,0.0,148146810.20378786,617
Sim590,Sim590,1,0.05,-82.98738051401465,241,0.020396622971193976,3021694.6321116937,148146810.20378786,617
Sim590,Sim590,2,0.1,-101.06774911531727,11,0.0,0.0,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,12,0.001283592379250214,91549.49832669612,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,13,0.265466933120286,18933864.78633125,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,14,0.011783055678077692,840401.4027519096,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,15,0.0,0.0,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,16,0.0,0.0,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,21,0.12083968970321304,8618634.037656808,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,22,0.00022015187389008717,15701.86449851984,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,23,0.025382365617388637,1810343.2804533166,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,24,0.00956238772683817,682016.980896036,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,25,0.0,0.0,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,26,0.002071425635996874,147740.03091802765,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,111,0.07439522273508349,5306081.143359652,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,121,0.0,0.0,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,131,0.0,0.0,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,161,0.002314398204784765,165069.53297745364,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,231,0.3586948009116742,25583144.311778948,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,232,0.0,0.0,71322874.61863323,579
Sim590,Sim590,2,0.1,-101.06774911531727,241,0.1279859764135168,9128327.74868461,71322874.61863323,579
Sim590,Sim590,3,0.15,-84.77708793920368,11,0.0,0.0,1315102656.5194135,647
Sim590,Sim590,3,0.15,-84.77708793920368,12,0.0,0.0,1315102656.5194135,647
Sim590,Sim590,3,0.15,-84.77708793920368,13,0.011910209020677917,15663147.52279501,1315102656.5194135,647
Sim590,Sim590,3,0.15,-84.77708793920368,14,0.00044377739216337926,583612.8273373176,1315102656.5194135,647
Sim590,Sim590,3,0.15,-84.77708793920368,15,0.0,0.0,1315102656.5194135,647
Sim590,Sim590,3,0.15,-84.77708793920368,16,0.0,0.0,1315102656.5194135,647
Sim590,Sim590,3,0.15,-84.77708793920368,21,0.0,0.0,1315102656.5194135,647
Sim590,Sim590,3,0.15,-84.77708793920368,22,0.0,0.0,1315102656.5194135,647
Sim590,Sim590,3,0.15,-84.77708793920368,23,0.0028207146898544784,3709529.381910958,1315102656.5194135,647
Sim590,Sim590,3,0.15,-84.77708793920368,24,0.0018241875256246104,2398993.8609385006,1315102656.5194135,647
Sim590,Sim590,3,0.15,-84.77708793920368,25,0.0,0.0,1315102656.5194135,647
Sim590,Sim590,3,0.15,-84.77708793920368,26,0.0,0.0,1315102656.5194135,647
Sim590,Sim590,3,0.15,-84.77708793920368,111,0.0,0.0,1315102656.5194135,647
